timestamp,sender,receiver,message_type,message
2026-07-22 03:44:24,SERVER,ALL,system,Kaushal joined the chat
2026-07-22 03:45:34,SERVER,ALL,system,Alice joined the chat
2026-07-22 03:45:42,Alice,ALL,broadcast,hellow Kausha
2026-07-22 03:45:47,Alice,ALL,broadcast,Good Morning
2026-07-22 03:46:03,Kaushal,ALL,broadcast,hey Alice
2026-07-22 03:46:06,Kaushal,ALL,broadcast,what's up
2026-07-22 03:48:09,SERVER,ALL,system,Bob joined the chat
2026-07-22 03:48:19,Bob,ALL,broadcast,hello this is Bob
2026-07-22 03:49:18,SERVER,ALL,system,Charlie joined the chat
2026-07-22 03:50:56,SERVER,ALL,system,Alice left the chat
2026-07-22 03:50:56,SERVER,ALL,system,David joined the chat
2026-07-22 03:51:06,David,ALL,broadcast,hey this is david
2026-07-22 03:51:13,SERVER,ALL,system,Kaushal left the chat
2026-07-22 03:52:33,Bob,ALL,broadcast,hey
2026-07-22 03:53:13,SERVER,ALL,system,Kaushal joined the chat
2026-07-22 03:53:16,Kaushal,ALL,broadcast,het what 'sup
2026-07-22 03:54:26,SERVER,ALL,system,Charlie left the chat
2026-07-22 03:56:14,SERVER,ALL,system,David left the chat
2026-07-22 03:56:44,SERVER,ALL,system,Ethy joined the chat
2026-07-22 03:56:49,Ethy,ALL,broadcast,hey ethy
2026-07-22 03:56:53,Ethy,ALL,broadcast,how are hyou
2026-07-22 03:57:31,SERVER,ALL,system,Fancy joined the chat
2026-07-22 03:57:42,SERVER,ALL,system,Bob left the chat
2026-07-22 03:57:43,Fancy,ALL,broadcast,hey this is my Fancy
2026-07-22 03:57:48,Fancy,ALL,broadcast,this is me
2026-07-22 03:57:53,Fancy,ALL,broadcast,good
2026-07-22 03:58:24,SERVER,ALL,system,Kaushal left the chat
2026-07-22 03:58:34,SERVER,ALL,system,Gooned joined the chat
2026-07-22 03:58:43,Gooned,ALL,broadcast,hey 'what up buddy'
2026-07-22 03:58:46,Gooned,ALL,broadcast,sorry for last
2026-07-22 04:02:01,SERVER,ALL,system,Ethy left the chat
2026-07-22 04:03:01,SERVER,ALL,system,Fancy left the chat
2026-07-22 04:07:06,SERVER,ALL,system,bot_user_0 joined the chat
2026-07-22 04:07:06,SERVER,ALL,system,bot_user_3 joined the chat
2026-07-22 04:07:06,SERVER,ALL,system,bot_user_1 joined the chat
2026-07-22 04:07:06,SERVER,ALL,system,bot_user_2 joined the chat
2026-07-22 04:07:06,SERVER,ALL,system,bot_user_4 joined the chat
2026-07-22 04:07:07,bot_user_0,ALL,broadcast,Automated test message 1 from bot_user_0
2026-07-22 04:07:07,bot_user_4,ALL,broadcast,Automated test message 1 from bot_user_4
2026-07-22 04:07:07,bot_user_3,ALL,broadcast,Automated test message 1 from bot_user_3
2026-07-22 04:07:07,bot_user_2,ALL,broadcast,Automated test message 1 from bot_user_2
2026-07-22 04:07:07,bot_user_1,ALL,broadcast,Automated test message 1 from bot_user_1
2026-07-22 04:07:07,bot_user_3,ALL,broadcast,Automated test message 2 from bot_user_3
2026-07-22 04:07:07,bot_user_1,ALL,broadcast,Automated test message 2 from bot_user_1
2026-07-22 04:07:07,bot_user_2,ALL,broadcast,Automated test message 2 from bot_user_2
2026-07-22 04:07:07,bot_user_4,ALL,broadcast,Automated test message 2 from bot_user_4
2026-07-22 04:07:07,bot_user_0,ALL,broadcast,Automated test message 2 from bot_user_0
2026-07-22 04:07:07,bot_user_3,ALL,broadcast,Automated test message 3 from bot_user_3
2026-07-22 04:07:07,bot_user_1,ALL,broadcast,Automated test message 3 from bot_user_1
2026-07-22 04:07:07,bot_user_4,ALL,broadcast,Automated test message 3 from bot_user_4
2026-07-22 04:07:07,bot_user_2,ALL,broadcast,Automated test message 3 from bot_user_2
2026-07-22 04:07:07,bot_user_0,ALL,broadcast,Automated test message 3 from bot_user_0
2026-07-22 04:07:08,bot_user_3,ALL,broadcast,Automated test message 4 from bot_user_3
