timestamp,sender,receiver,message_type,message
2026-07-03 17:07:22,SERVER,ALL,system,Kaushal_0 joined the chat
2026-07-03 17:07:22,SERVER,ALL,system,Kaushal_1 joined the chat
2026-07-03 17:07:22,Kaushal_0,ALL,broadcast,message_1_from_0
2026-07-03 17:07:22,Kaushal_0,ALL,broadcast,message_2_from_0
2026-07-03 17:07:22,Kaushal_0,ALL,broadcast,message_3_from_0
2026-07-03 17:07:22,Kaushal_1,ALL,broadcast,message_1_from_1
2026-07-03 17:07:22,Kaushal_0,ALL,broadcast,message_4_from_0
2026-07-03 17:07:22,Kaushal_1,ALL,broadcast,message_2_from_1
2026-07-03 17:07:22,Kaushal_1,ALL,broadcast,message_3_from_1
2026-07-03 17:07:22,Kaushal_0,ALL,broadcast,message_6_from_0
2026-07-03 17:07:22,Kaushal_1,ALL,broadcast,message_4_from_1
2026-07-03 17:07:22,Kaushal_0,ALL,broadcast,message_7_from_0
2026-07-03 17:07:22,Kaushal_0,ALL,broadcast,message_8_from_0
2026-07-03 17:07:22,Kaushal_1,ALL,broadcast,message_6_from_1
2026-07-03 17:07:22,Kaushal_0,ALL,broadcast,message_9_from_0
2026-07-03 17:07:22,Kaushal_1,ALL,broadcast,message_7_from_1
2026-07-03 17:07:23,Kaushal_1,ALL,broadcast,message_8_from_1
2026-07-03 17:07:23,Kaushal_0,ALL,broadcast,message_11_from_0
2026-07-03 17:07:23,Kaushal_1,ALL,broadcast,message_9_from_1
2026-07-03 17:07:23,Kaushal_0,ALL,broadcast,message_12_from_0
2026-07-03 17:07:23,Kaushal_0,ALL,broadcast,message_13_from_0
2026-07-03 17:07:23,Kaushal_1,ALL,broadcast,message_11_from_1
2026-07-03 17:07:23,Kaushal_0,ALL,broadcast,message_14_from_0
2026-07-03 17:07:23,Kaushal_1,ALL,broadcast,message_12_from_1
2026-07-03 17:07:23,Kaushal_1,ALL,broadcast,message_13_from_1
2026-07-03 17:07:23,Kaushal_0,ALL,broadcast,message_16_from_0
2026-07-03 17:07:23,Kaushal_1,ALL,broadcast,message_14_from_1
2026-07-03 17:07:23,Kaushal_0,ALL,broadcast,message_17_from_0
